ID,变体,描述
29755179,,""隐私和安全"页面下的"操作历史记录"子页面已经过重新设计，以便与 Windows 11 的设计美学保持一致。(现已推广至正式版用户)"
39145991,,
37634385,,
36354489,,"选项卡式浏览功能已添加到文件资源管理器中和左侧导航窗格的布局更新(于22581暂时移除,22621.160开始a/b测试,22621.675默认启用)"
36302090,,"打开方式"对话框已经过重新设计，以符合 Windows 11 的设计美学(22563默认禁用,22567推广所有预览人员,22579默认禁用,22581已移除,25151回归却默认禁用,22622.290默认不启用,25206默认启用,现已推广至正式版用户)"
35620393,,
35620394,,"启用任务栏溢出(22622.436默认不启用,22622.440开始a/b测试,现已推广至正式版用户)"
39281392,,"(注:此行隐藏id需22622.xxx版本单独启用,22623.730无需启用)"
37007953,,"输入"页面下的"显示触摸键盘"注记具有 3 个可用选项（"从不"、"未连接键盘时"和"始终"）的新下拉菜单。(25151默认禁用,25188开始a/b测试,22622.586加入且默认禁用,22623.885推广所有预览人员,现已推广至正式版用户)"
36860984,,"启用任务栏右键的任务管理器选项(22621.675和22623.870开始a/b测)"
42038001,"1/3/5","1:不点击时显示搜索,点击后变为蓝色 3:搜索图标改为放大镜的框为地球 5:不点击时显示搜索Web,点击后变为蓝色 - 任务栏上的搜索入口点已重新设计为三个样式(22621.900及以上版本有效)"
26008830,,"任务栏的新优化版本(22563开始a/b测,22581推广所有预览人员,于22610暂时禁用,22616已移除,25193回归却默认禁用,25197开始a/b测,22623.730开始a/b测,现已推广至正式版用户)"
38764045,,"新任务栏托盘图标可以移动(25211开始a/b测,22621/3.730默认禁用,现已推广至正式版用户)"
38665217,,"回归之前10预览键入填充完整搜索的功能(25197默认禁用,25201开始a/b测,22623.730默认禁用,25211疑似默认启用?,现已推广至正式版用户至正式版用户)"
34300186,,"小组件全屏(25201开始a/b测,22623.885开始a/b测,现已推广至正式版用户)"
40762871,,"应用-高级应用设置翻新(25211默认禁用,22623.885默认禁用,现已推广至正式版用户)"
"39427030,41249924",,"系统-电源(和电池)-能源建议(25231默认禁用,22623.885开始a/b测,22621.990加入且默认禁用,现已推广至正式版用户)"
39420424,,"任务管理器支持搜索(25231默认禁用,22623.885默认禁用,22623.891默认启用,25247默认启用,现已推广至正式版用户)"
38937525,,"(25197-25227)新的开始菜单搜索栏文本(25197默认禁用,25227已移除) / 25252起为新的开始菜单搜索体验(25252默认禁用,22623.1037加入且默认禁用,22623.1095默认启用,22621.1105默认禁用,现已推广至正式版用户)"
40887771,,"(25217-25227)"搜索"入口点已移至任务栏左侧的"小部件"入口点右边(25217默认禁用(须禁用39072097),25227已移除,22623.870默认禁用(需禁用39263329)) / 之后改为修改搜索的样式选项(25252开始a/b测,22623.1037开始a/b测,22621.1105默认禁用,现已推广至正式版用户)"
41415839,,"搜索框显示搜索亮点(25252开始a/b测,22623.1037默认启用,现已推广至正式版用户)"
38833134,,"语音访问改进(22623.1037默认启用,22627默认禁用,现已推广至正式版用户)"
41314201,,"启用任务栏时间显示秒(25247开始a/b测,23403默认禁用,23419开始a/b测,22624.1470开始a/b测,现已推广至正式版用户)"
37969115,,"桌面显示小组件搜索(25120开始a/b测试,25158停止测试,25281已移除)"
37634385,,"选项卡式浏览功能已添加到文件资源管理器中(25136开始a/b测试,25179推广所有预览人员,现已推广至正式版用户)"
36354489,,"左侧导航窗格的布局已更新(25136开始a/b测试,25179推广所有预览人员,现已推广至正式版用户)"
37010913,,"搜索"入口点已移至任务栏左侧的"小部件"入口点左边(左对齐无更改)(暂时应该不会测试)(已移除)"
39072097,"1-6","1:不点击时显示搜索,点击后变为蓝色 2:不点击时显示搜索,点击后搜索字样消失并变为蓝色 3:搜索图标改为放大镜的框为地球 4:搜索图标改为地球右下角有个放大镜 5:不点击时显示搜索Web,点击后变为蓝色 6:不点击时显示今日的搜索亮点,点击后变为蓝色 - 任务栏上的搜索入口点已重新设计为六个样式(启用后25211+的任务栏右键不会显示任务管理器)(25158随机样式测试(运气差可能是旧版样式),25227已移除,1现已推广至正式版用户)"
39258685,,"Windows聚焦主题(25140包含,25163可正常使用但默认禁用,25169开始a/b测试,1现已推广至正式版用户)"
36165848,,启用贴纸中的绘画功能(25174默认禁用)
39751186,,"启用新版任务栏图标弹出动画(25179随机测试,25182疑似移除)"
40430431,,"在"详细信息"页面下的右键单击上下文菜单中添加了"创建实时内核转储文件"选项，从而添加了生成实时内核转储的功能(25197才能使用,25276开始a/b测1现已推广至正式版用户)"
39710659,,(此行在25281及更高版本无需启用)
40268500,"0/1/3","老样式数字说明 0:桌面聚焦ui在下面,桌面图标隐藏 1:桌面聚焦ui在右下角,桌面图标不隐藏 3:桌面聚焦ui在右上角,桌面图标隐藏 (此行在新样式中废弃)"
40268500,"0/1/2","新样式数字说明 0:桌面聚焦ui在右上角,桌面图标隐藏 1:桌面聚焦ui在右下角,桌面图标不隐藏 2:桌面聚焦ui在下面,桌面图标隐藏(此样式会导致资源管理器崩溃)"
"39880030,40522394,41744267,41861575",,"新的桌面聚焦ui(25197默认禁用,25206已移除,25281进行不同样式的测试,25309停止测试(启用需禁用wasdk的资源管理器),25352已移除,23451进行不同样式的a/b测试,现已推广至正式版用户)"
36390579,,(启用下面新ui必须启用的)
38228963,,系统-重命名(25201默认禁用)
39811196,,时间和语言-日期和时间-手动设置日期和时间(25201默认禁用)
41598133,,系统-恢复-重置此电脑(25227默认禁用)
41670003,,系统-恢复-回退(25247默认禁用)
42733866,,系统-激活-更改产品密钥(25281默认禁用)
44357190,,系统-激活-连点几下Windows版本(25905默认禁用)
42739800,,电话激活(25905默认禁用)
42739793,,"系统-激活-疑难解答) 设置内部分项目ui翻新(25357暂时移除,25905回归)"
36094217,,"xbox game pass小组件(25201开始a/b测,现已推广至正式版用户但是中国用户可能找不到)"
36862855,,"简体中文输入法云建议(25217开始a/b测,25231推广所有预览人员,25352暂时移除,25905回归,现已推广至正式版用户)"
36435151,,"当用户需要操作时会在开始菜单的头像上显示标记(25217默认禁用,25227开始a/b测,现已推广至正式版用户)"
41075629,,"设置中的启动应用可查看安装说明或者位置(25247默认禁用,25300默认启用)"
38113452,,"网络连接虚拟网络平台会显示图标(25247默认禁用,25252默认启用,23403默认启用)"
41540372,,显示设置中账户OneDrive新版界面(25276开始a/b测)
42295138,,"新资源管理器文件夹预览窗格ui(暂时占位,已废弃)"
42106010,,"快速设置中声音输出有更多的操作(25281默认禁用,25309开始a/b测)"
42189933,,"允许将Windows安装到refs分区(25281默认禁用,25357暂时移除)"
41861575,"0/2/3","0:桌面聚焦图标在右下角 2:桌面聚焦图标在下面居中 3:桌面聚焦在右上角 - 更改桌面聚焦图标的位置(25281开始a/b测,现已推广至正式版用户)"
42783107,,"Windows安装程序将默认用refs分区格式化(25284默认禁用,25357暂时移除,现已推广至正式版用户)"
42550315,,"设置中恢复界面将支持原地升级(感觉梦回8/8.1,目前功能不起作用(25905可使用))(25284默认禁用,25905默认启用,23516默认禁用)"
40851068,"0/1/2/3","0:仅显示snap this windows 1:不显示那个新标题但悬停时打开窗口速度更快 2:显示新标题且应用程序图标 3:变种1和2的结合 - snap窗口得到改进(25300开始随机样式测试,25309疑似仅测试一种样式,25352默认禁用,目前疑似移除?)"
34912776,,"更改键盘布局顺序(25300默认禁用,现已推广至正式版用户)"
38612934,,"新存在感知界面(25300默认禁用,现已推广至正式版用户)"
36371531,,"自动颜色管理选项(25309开始a/b测,现已推广至正式版用户)"
40347509,,"启用可创建refs开发者分区(25309默认禁用,25357暂时移除,现已推广至正式版用户)"
43214488,,"任务栏左对齐时小组件跑到托盘旁边(梦回新闻与兴趣栏)(25324默认禁用,25330已移除,现已换成全新id)"
42934589,,"小组件图标动画(25324开始a/b测,现已推广至正式版用户)"
"42866171,41878171",,"设置开发者模式中创建refs开发者分区(25324默认禁用(需启用40347509),现已推广至正式版用户)"
42401084,,"设置磁盘与卷中可以创建vhd(25324默认禁用,25357暂时移除,现已推广至正式版用户)"
40112637,,"Windows防火墙对话框标题栏改成Windows安全(25324默认禁用,25346默认启用,现已推广至正式版用户)"
43320599,,左对齐时小组件不会折叠(25336默认禁用,目前已疑似移除？)
42606374,,MSDT停用横幅
"40733296,41540372,41562961,41061894",,新云存储视觉效果
40618079,,讲述人设置中添加自然语音的对话框正在获得更新
38811930,,"实时字幕支持多种语言识别(25267默认禁用,25300及23403默认启用,现已推广至正式版用户)"
40729001,,(25309/23403及以上版本仅启用此行即可)
"40731912,41969252,42922424",,"启用全新的wasdk的资源管理器(25300及23403默认禁用(不推荐实体机启用,因为性能不咋地),23466默认启用,现已推广至正式版用户)"
39696859,,"资源管理器新增快捷键选中(25314及23403开始a/b测,23440及25346默认启用,25352暂时移除,25905回归,现已推广至正式版用户)"
41040327,"0/1","0:图库在主页面跟OneDrive之间 1:图库在主页面和OneDrive下方 - 资源管理器增加了图库项目(25272及23403默认禁用,23435开始a/b测,23471推广所有预览人员,现已推广至正式版用户)"
42295138,,"启用新图库中视图(25300及23403默认禁用,25352暂时移除,25905回归(需先启用41040327),23435开始a/b测,23471推广所有预览人员,现已推广至正式版用户)"
"38664959,40064642,41070380",,"主页面下新增文件推荐(需登录AAD的微软账户)(25314及23403开始a/b测,25352暂时移除,25905回归,现已推广至正式版用户)"
41076133,,"xaml资源管理器主页面(25314及23403开始a/b测,25352暂时移除,25905回归,23466默认启用,现已推广至正式版用户)(需启用wasdk的资源管理器和aad的主页面)(不推荐实体机启用以免造成严重的后果)"
34878152,,"欢乐时光(设置导航栏动画)(25188默认禁用,25197开始a/b测,23403默认禁用,25352暂时移除,25905回归,26040疑似被砍)"
"39319758,41091343",,"任务栏等很多组件已单独从explorer进程分离(25211默认禁用且损坏,25267可正常使用,23403默认禁用,25352暂时移除,25905回归)(不推荐实体机启用以免造成严重的后果)"
39305332,,"蓝牙和其他设备-USB-USB4 Hubs and Devices(25314默认禁用,25324及23419默认启用,现已推广至正式版用户)"
42063280,,"启用截图工具录制的快捷键Win+Shift+R(23419及25324默认禁用,现已推广至正式版用户)"
42905431,,"设置开始项目里可启用在开始菜单显示浏览器历史记录(23419及25324默认禁用,23440默认启用)"
43602643,,"自动刷新图库所做的更改(23419及25346默认禁用,25352暂时移除,25905回归)(需启用wasdk的资源管理器和图库)(不推荐实体机启用以免造成严重的后果),23471默认启用,现已推广至正式版用户)"
43028164,,"启用新样式小组件(23424及25324开始a/b测,现已推广至正式版用户)"
42592269,,"任务栏应用右键可选择结束进程(25300及23419默认禁用,目前此功能无法正常使用,23451可正常使用,25905默认启用,现已推广至正式版用户)(需在开发者选项中启用)"
43132439,,"Windows更新中增加更快速获取更新的选项(25309默认禁用,23424默认启用,现已推广至正式版用户)"
42533185,,"开始菜单中推荐的项目改为发给您的(什么zh-ms)(25295默认禁用,23424及25330默认启用,目前疑似移除?)"
41437381,,"隐藏任务栏的时间及日期(23430及25346默认禁用,23440默认启用,25352暂时移除,25905回归,现已推广至正式版用户)"
37926450,,"搜索滚动条得到翻新(23451及25905默认禁用,现在加入且默认禁用？)"
38613007,,"新资源管理器文件夹导航窗格ui(25276(此版本启用需切换成浅色模式)默认禁用,25290已移除,23430及25346默认禁用,25352暂时移除,25905回归,23451开始a/b测,现已推广至正式版用户)"
"41863571,42589465",,"启用snap窗口建议(23435及25346默认禁用,25352暂时移除,25905回归,现已改为全新id)"
"43572692,43572857",,"鼠标移动到搜索时自动打开搜索窗口(23435及25346默认禁用,23H2加入且默认禁用,后面已移除)"
40213648,,"emoji 15(25300默认禁用(部分新图标无法正常显示),25352暂时移除,25905回归,23466默认禁用,23475默认启用,现已推广至正式版用户)"
29785186,,"任务栏标签永不合并(23466开始a/b测,23481推广所有预览人员,现已推广至正式版用户)"
"23214784,41967741",,"提示关闭此应用通知窗口的提示(23466默认禁用,现已推广至正式版用户)"
41950597,,"任务栏搜索显示当天搜索聚焦的标题而不是仅搜索二字(23466默认禁用,目前疑似移除)"
"40950262,42105254",,"wasdk的资源管理器导航栏得到翻新(23466默认禁用,23475及25905开始a/b测)"
44520430,,"任务栏中的聊天被Teams Free替代(23466默认禁用,现已推广至正式版用户)"
39339190,,"设置可启用登录前启用语音访问(23466默认禁用,现已推广至正式版用户)"
43358915,,"Windows备份软件可选择备份浏览器的密码(23466默认禁用,现已推广至正式版用户)"
44280635,,"处于折叠任务栏时不会显示通知徽章(23471默认禁用,现已推广至正式版用户)"
39661369,,"资源管理器多标签支持分离跟合并(25290默认禁用,23471默认禁用,23481默认启用,现已推广至正式版用户)"
"35262205,41355275",,"设备环境亮度设置(25295默认禁用,25352暂时移除,25905回归,23466默认禁用,23475默认启用,现已推广至正式版用户)"
38890980,,"共享ui得到轻微更新(25309默认禁用,25357移除,23475默认禁用,现已推广至正式版用户)"
44788892,,"任务栏显示copilot图标(目前不起作用)(23481默认禁用,现已废弃?)"
"44573982,44571814",,"开始菜单所有应用中系统应用下显示系统字样(23481及25905默认禁用,现已推广至正式版用户)"
"41799415,43679417,44504204",,"uwp笔迹改进(23481开始a/b测,现已推广至正式版用户)"
40608813,,"文件夹选项中部分选项移除(仍可通过注册表来更改)(23481默认启用,现已回退)"
42500395,"1/2","启用snap窗口建议(23493默认禁用,25992默认启用)"
"44776738,42105254,41655236,44774629,44850061",,"任务栏显示copilot图标(23493及25905开始a/b测,23506默认启用,现已推广至正式版用户)"
"42058345,42058313,42977909,44049197,44124573",,"设置新增主页面(23493开始a/b测,现已推广至正式版用户)"
43729731,,"设置-蓝牙和其他设备中手机连接略微更改(23506默认禁用,现已推广至正式版用户)"
"44663396,44663406",,设置-系统-电源和电池更改(23506默认禁用)
43180950,"0/1","(0是直接启动dev主页面,1是先启动入门,在入门中提示打开dev主页面) - 新的oobe后体验(23506开始不同变种测试)"
40581622,,"新程序兼容窗口ui(25276及23506以上可用,现已推广至正式版用户)"
"44470355,46045587",,"开始菜单推荐的项目可以将最近安装的应用合并到一起(23545及25967默认禁用)"
44209225,,附近共享重命名无需在系统信息重命名(23545默认禁用)
45425287,,共享🔗选项移至链接旁边(23560默认禁用)
45690501,,"设置-个性化下新增copilot设置(23575及25992默认禁用)"
40501685,,"语音访问可设置命令(23580默认禁用,现已推广至正式版用户)"
46874360,,"copilot移动至右下角(25992及23585默认禁用,26040默认启用)"
46619780,,"设置-蓝牙和其他设备-移动设备下新增移动设备管理(23590默认禁用,23619及26040开始a/b测)"
"44470355,39885363",,语音访问支持更多语言(23612默认启用)
47526873,"1 变体payloadkind:1 变体payload:1","锁屏界面下的天气组件翻新(23612开始a/b测,26040默认禁用)"
37356106,,使用Rust重写Win32k GDI代码(25905开始a/b测)
"40226628,41683745",,"隐私权限问题警告(25905默认禁用,25921移除)"
39484957,,oobe中隐私部分里新增存在感知选项(25915默认禁用)
44702824,,设置-系统下新增系统组件选项(25926默认禁用)
42863801,,OneDrive可保存在refs分区下(?) (25931默认禁用)
42863801,,系统可在refs分区下引导(?) (25931默认禁用)
39593188,,控制中心新增滚动条(25967默认启用)
"44531625,44685875,45046901",,"启用win32的控制中心(RIP UWP🪦)(25987默认禁用,26002开始a/b测)"
42537950,,禁用Windows10任务栏体验(26002默认禁用)
45286373,,分享界面可以拖动(26002默认禁用)
47688503,,设置-系统下新增ai组件界面(26016默认禁用)
29532725,,任务栏悬停动画回归(不推荐实体机启用以免造成严重的后果)(26020默认禁用)
45799111,,控制中心显示实时字幕选项(26040默认禁用)
45178292,,初次使用实时字幕时不必再到设置切换语言识别包下载(26040默认禁用)
41360093,,（占位符，不可用）
42052883,,（占位符，不可用）
40979072,,"设置应用"搜索权限"设置页加入"Let search apps show results"选项（未分类）"
26338762,,更多设置项支持深色模式（Windows Server 2022 build 20231.1000专属）
40062046,,设置中的"实验性功能"下拉菜单（Windows 更新> Windows Insider 程序）。
43040593,,"新小组件选择器(需更新到最新WWEP,已默认启用)"
43636169,,"小组件可以被固定(需更新到最新WWEP,已默认启用)"
41561454,,"不登录微软账户即可使用小组件(更新到最新WWEP,已默认启用)"
38652916,,"显示新的小组件设置(需更新到最新WWEP,已默认启用)"
36718398,,"启用新的小组件设置中的徽章选项(需更新到最新WWEP,已默认启用)"
40772499,,"启用小组件新ui(需更新到最新WWEP(4选1随机测试),目前疑似移除?)"
"45393399,42880174,44281626",,启用全新小组件样式(可关掉新闻)(需更新到最新WWEP)
"47557358,49686193",,"Win11小组件变WinUI3（请将 WWEP 更新到版本 524.20502.0.0及以上）然后启用 和 速度暂存键以及IntegratedServicesRegionPolicySet.json下的"第三方源显示在 Widgets 中"策略。（需启用48433719）"
"50179255,53672489",,"锁屏小组件上原生方案(22635.4870)(启用后小组件变WinUI3，26120.3073设置-个性化-锁屏界面将无法打开)"
56659543,,"在"个性化"→"锁屏"下自定义锁屏天气小组件的功能已添加并逐步推出。（需启用50179255,53672489）（26120.3360）"
"55994763,59162732",,Widgets设置对话框已被新的全页设置页面取代，同时新增了重新排列仪表盘和配置通知的功能。(需更新到最新WWEP)(26220.7051)
48969045,,启用更多的动画小组件任务栏图标集（例如：新的动画"夜间多云"图标）以及向预览体验成员和已安装KB5036980的用户推出的更清晰的图标改进
48801541,,推出了其他锁屏卡，例如金融和体育，可以通过运行以下命令来启用该功能 KB5035941（19045.4235） 中为 Windows 10
"46107637,48799383",,已将不起作用的 Studio Effects 图标添加到任务栏上的系统托盘中。默认情况下，它处于禁用状态 22635.3276
39695921,3,"超级分辨率"
"48468527,48468541,48660958",,"如果任务栏左对齐，则 Widgets 入口点将移动到系统托盘的左侧，并在启动 Widgets 仪表板时从右侧而不是左侧飞出。22635.3420"
"47664723,48433719",,WinUI3版文件资源管理器痕迹导航之间的拖放功能已回归。22635.3420
45262221,,"选项卡上下文菜单中用于复制所选选项卡的"复制选项卡"选项（最初在内部版本 22635.3566 中实现）已移植到此内部版本。默认情况下，此功能处于禁用状态，但可以通过启用 和 速度暂存键来手动激活。（需启用48433719）"
"47448915,48546544",,"在"帐户"页面下添加了一个新的"链接设备"子页面，用于管理使用 Microsoft 帐户登录的设备、电脑和 Xbox 主机。"
46892085,,"用户个人资料菜单已重新设计为"帐户管理器"，显示帐户设置和建议的通知。作为此更改的一部分，"注销"选项已移至省略号菜单，"锁定"选项已移至电源选项菜单，并且已删除电源选项菜单下的"登录选项"选项。（需启用48433719）"
"33722644,46264199,48412482",,"在"帐户">"通行密钥"下添加了一个未完成的"高级选项"页，用于管理同步和凭据管理器设置。26200（需启用48433719）"
49445394,,"搜索下拉菜单中添加了新的"在 Windows 中询问 Copilot"选项，以调用 Copilot 寻求支持。默认情况下，此功能处于禁用状态，但可以通过启用速度暂存键手动激活。"
"45189370,47364920",,"在"帐户">"您的信息"下更改用户个人资料图片的体验已改进为"更改个人资料照片"对话框，增加了对图片应用效果和滤镜、裁剪部分图片以及将其还原为默认个人资料图片的功能。此体验部分起作用，默认情况下处于禁用状态，但可以通过启用 和 速度暂存键手动激活。"
50012660,,"旧版鼠标控制面板小程序中的"增强指针精度"选项和"滚动方向"下拉菜单已移植到"蓝牙和设备>鼠标"页面。默认情况下，此更改处于禁用状态，但可以通过启用 和 速度暂存键来手动激活。26227（需启用48433719）"
51407079,,"在隐私和安全下添加了一个新的生成式人工智能子页面，用于管理生成式人工智能访问。启用 和 速度暂存键还会显示页面中隐藏的"最近活动"部分。26236（需启用48433719）"
50566956,,"在快照中右键单击分析的文本时，上下文菜单中添加了新的"搜索 Web"选项。默认情况下，此功能处于禁用状态，但可以通过启用速度暂存键手动激活。26236（需启用48433719）"
32222762,,"添加了右键单击固定到"开始"菜单且具有跳转列表的应用时显示跳转列表的功能。此功能仅适用于一部分用户，但可以通过启用 和 速度暂存键来手动激活。"
45130483,,对主页进行了以下视觉改进。默认情况下，这些功能处于禁用状态，但可以通过启用速度暂存键来手动激活。22635.3640（需启用48433719）
48697323,,"在开始菜单旁边添加了一个新的配套面板，用于管理通过 Phone Link 应用程序连接的 Android 移动设备。此功能需要 Phone Link 应用程序版本 1.24052.124.0（或更高版本）才能正常工作。此更改仅适用于一部分用户，但可以通过启用 和 速度暂存键来手动激活。（需启用48433719）（22635.3790）"
"41118774,451339492",,"新的"更多应用"部分已添加到"打开方式"对话框中。默认情况下，此更改处于禁用状态，但可以通过启用 和 速度暂存键来手动激活。（22635.3790）"
48525682,,"添加了在任务栏上显示缩短的日期和时间的功能（可通过"设置"应用中的"个性化">"任务栏"进行切换）。默认情况下，此功能处于禁用状态，但可以通过启用速度暂存键手动激活。（22635.3790）"
49082522,,"添加了打开和关闭任务栏上的通知铃铛图标的功能（可通过"设置"应用中的"个性化">"任务栏"进行切换）。默认情况下，此功能处于禁用状态，但可以通过启用速度暂存键手动激活。"
"47557358,49686193",,"Win11小组件变WinUI3（请将 WWEP 更新到版本 524.20502.0.0及以上）然后启用 和 速度暂存键以及IntegratedServicesRegionPolicySet.json下的"第三方源显示在 Widgets 中"策略。（需启用48433719）"
47205210,2,"开始菜单改进（1.列表改进 2.变为网格视图）（需启用48433719）"
49221331,,"开始菜单变为列表、网格、分组三类排序（22635.4082）（需启用47205210,48433719）"
49686287,,使用 UTF-8 编码显示 Wi-Fi SSID，从而使带有 Unicode 字符的 SSID 在输出中正确显示。
51228992,,在 HDR >系统>显示下添加了新的"即使 HDR 关闭也允许 HDR 视频流"切换开关
48177092,,将控制面板中的"字体"小程序的链接重定向到"个性化>字体"页面的更改（需启用48433719）
49559611,,添加了在平板电脑优化的任务栏上显示搜索框的功能
46874415,,系统托盘中用秒切换时钟的选项移动到"设置"应用中的"时间和语言>日期和时间"下的"在系统托盘中显示时间和日期"部分（需启用48433719）
"49575624,50292326",,允许用户同时在多个应用程序中使用同一摄像头（需启用48433719）
48980211,,在任务栏上显示非活动和固定应用的悬停卡
49607261,,"关闭 HDR 以节省能源"能源建议
46961347,,Windows 共享浮出控件添加了一个新按钮，用于生成 URL 和云文件链接的 QR 码。
"45596742,45690501,49010421,49035782",,"任务栏上添加了一个新的、紧凑的 Copilot 建议菜单变体，可以通过 Windows >设置应用中的 Copilot 个性化来切换。(已弃用)"
"47921574,47921515",,在锁定屏幕上显示天气旁边的其他快速状态（例如体育、交通和财务）
49256040,,对压缩文件和存档.7z .tar的支持（需启用48433719）
48413250,,Windows 共享浮出控件中添加了一个新的复制按钮，用于直接复制文件
45286411,,在"开始"菜单的"搜索"页中的搜索结果中添加了一个新的"共享"选项，用于快速打开 Windows 共享浮出控件
"32222762,47205210",,在右键单击固定到"开始"菜单且具有跳转列表的应用时显示跳转列表的功能（需启用48433719）
43283102,,通过从"开始"菜单中的"固定"部分拖动应用来将应用固定到任务栏或桌面（桌面貌似不管用，看后面微软怎么弄吧！）
49140016,1,实现的对桌面上 Windows 聚焦图标的用户交互的更改已再次进行了调整。
38738362,,在"系统>关于"下的"Windows 规格"部分中显示到期日期（定时炸弹）
"46700501,46700599,46700719,46700936,47109994,48636059,48637472,50104492,50390676",,对文件资源管理器的修复更改
49666228,,"隐私与安全性">"常规"页面已重命名为"推荐和优惠"，并带有新的图标和更新的说明（需启用48433719）"
33235889,,最初在内部版本 27686 中实现的>传递优化页面重新设计的 Windows 更新>高级选项已向后移植到此版本并逐步推出。（22635.4082）
52793632,"1/2","Windows 聚焦体验已更新，包括热点，这些热点在悬停时显示其他信息，以及减少的浮出控件或最小化的聚焦 UI。此更改会逐步推出，但可以通过启用速度暂存键来手动激活，并将参数设置为 1（对于弹出减少的热点）或 2（对于 UI 最小化的热点）。 （22635.4145）"
50968699,,添加了直接从 Windows 共享弹出窗口将内容共享到记事本和 Clipchamp 的功能。(22635.4145)
50564196,,"Sign out 帐户管理器中省略号菜单下的选项已移至主视图，并且 Switch user 选项已替换为用户下拉列表。(22635.4145)"
51900073,,在蓝牙和设备下添加了一个新的部分>用于配置触摸屏边缘手势。(22635.4145)（需启用48433719）
"45286369,52800817",,"上下文菜单中添加了新的"发送到我的手机"选项，用于快速将内容共享到 Android 设备。文件资源管理器的主页和"详细信息"窗格下任何 OneDrive 文件的用户名旁边的用户帐户图片 。(22635.4225)（需启用48433719）"
53330962,,用于断开所选用户连接的对话框已经过重新设计，以符合 Windows 11 的设计美学。(22635.4225)
51978387,,添加了在 Performance （性能） 页面下的驱动器类型旁边显示磁盘驱动器界面的功能。(22635.4225)
"46702397,51848093",,"将鼠标悬停在主页和详细信息窗格下任何 OneDrive 文件的用户名上，将显示一个包含个人资料信息和快速联系人按钮的用户角色卡。此卡非常不稳定，默认情况下处于禁用状态(22635.4291)（需启用48433719）（需启用45130483）"
29785184,,"自 Windows 11 最初版本以来一直不存在的显示较小任务栏图标的功能已重新实现。可以通过"设置"应用程序中"个性化">"任务栏"下的"显示较小的任务栏按钮"切换开关进行配置。默认情况下，此功能也处于禁用状态 (22635.4291)（需启用48433719）"
51228992,,在 HDR 的 System > Display >下添加了一个新的"即使 HDR 处于关闭状态也允许 HDR 视频流"切换开关。(27686)
39007349,,通过System > Power（或Power & battery）手动设置插电和电池独立电源模式的能力(27686)
